Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
Full,gdut_mav_01,0.9113,0.8805,0.8956,0.8711,0.6459,198.6,88.05
Full,gdut_mav_02,0.7849,0.7818,0.7833,0.7819,0.5802,319.8,76.58
Full,gdut_mav_03,0.9944,0.977,0.9856,0.9699,0.7539,365.3,97.7
Full,gdut_mav_04,0.8898,0.8755,0.8826,0.8713,0.6091,373.26,87.55
Full,gdut_mav_05,0.7838,0.739,0.7608,0.7322,0.5107,159.66,68.24
Full,gdut_mav_06,0.9084,0.8735,0.8906,0.8708,0.6535,255.61,86.62
w/o MOD,gdut_mav_01,0.9119,0.8756,0.8933,0.8711,0.6404,404.52,87.56
w/o MOD,gdut_mav_02,0.7836,0.7801,0.7818,0.772,0.5777,415.57,76.42
w/o MOD,gdut_mav_03,0.9944,0.977,0.9856,0.9699,0.7539,408.04,97.7
w/o MOD,gdut_mav_04,0.8898,0.8755,0.8826,0.8713,0.6091,415.75,87.55
w/o MOD,gdut_mav_05,0.8612,0.3247,0.4716,0.3263,0.2221,1085.26,29.98
w/o MOD,gdut_mav_06,0.9078,0.8668,0.8868,0.8609,0.6509,408.6,85.96
w/o YOLO,gdut_mav_01,0.2357,0.2069,0.2203,0.2079,0.223,157.98,20.69
w/o YOLO,gdut_mav_02,0.5535,0.4775,0.5127,0.4752,0.3997,139.05,46.78
w/o YOLO,gdut_mav_03,0.8446,0.8311,0.8378,0.8317,0.6376,340.18,83.11
w/o YOLO,gdut_mav_04,0.1274,0.1176,0.1223,0.1188,0.091,174.71,11.76
w/o YOLO,gdut_mav_05,0.1546,0.16,0.1572,0.1584,0.1503,262.61,14.77
w/o YOLO,gdut_mav_06,0.4877,0.432,0.4582,0.4356,0.3676,156.96,42.84
w/o LT,gdut_mav_01,0.8894,0.8269,0.857,0.8216,0.6171,151.18,82.69
w/o LT,gdut_mav_02,0.9186,0.8881,0.9031,0.881,0.6377,187.94,87.0
w/o LT,gdut_mav_03,0.9995,0.9973,0.9984,0.9897,0.7775,276.85,99.73
w/o LT,gdut_mav_04,0.8955,0.8696,0.8824,0.8614,0.6027,194.17,86.96
w/o LT,gdut_mav_05,0.8991,0.6699,0.7677,0.6629,0.4565,65.57,61.85
w/o LT,gdut_mav_06,0.9596,0.7152,0.8195,0.7125,0.5991,62.24,70.92
Only YOLO,gdut_mav_01,0.8987,0.8197,0.8574,0.8117,0.6115,288.92,81.97
Only YOLO,gdut_mav_02,0.9196,0.8875,0.9033,0.881,0.6371,290.84,86.94
Only YOLO,gdut_mav_03,1.0,0.9973,0.9986,0.9897,0.7775,273.73,99.73
Only YOLO,gdut_mav_04,0.8966,0.8653,0.8806,0.8614,0.5994,261.24,86.53
Only YOLO,gdut_mav_05,0.9756,0.3121,0.4729,0.3163,0.2093,696.92,28.82
Only YOLO,gdut_mav_06,0.975,0.6293,0.7649,0.6234,0.5358,339.4,62.41
Only MOD,gdut_mav_01,0.5175,0.1311,0.2092,0.1386,0.116,25.22,13.11
Only MOD,gdut_mav_02,0.9485,0.1451,0.2517,0.1485,0.0946,27.67,14.21
Only MOD,gdut_mav_03,0.2424,0.0263,0.0475,0.0297,0.0275,21.8,2.63
Only MOD,gdut_mav_04,0.3695,0.0805,0.1322,0.0891,0.0587,20.16,8.05
Only MOD,gdut_mav_05,0.3445,0.0493,0.0863,0.0495,0.0517,25.34,4.55
Only MOD,gdut_mav_06,0.7625,0.136,0.2308,0.1386,0.0912,22.75,13.49
YOLO+LT,gdut_mav_01,0.9119,0.8756,0.8933,0.8711,0.6404,323.75,87.56
YOLO+LT,gdut_mav_02,0.7836,0.7801,0.7818,0.772,0.5777,339.94,76.42
YOLO+LT,gdut_mav_03,0.9944,0.977,0.9856,0.9699,0.7539,332.35,97.7
YOLO+LT,gdut_mav_04,0.8898,0.8755,0.8826,0.8713,0.6091,327.73,87.55
YOLO+LT,gdut_mav_05,0.8612,0.3247,0.4716,0.3263,0.2221,883.64,29.98
YOLO+LT,gdut_mav_06,0.9078,0.8668,0.8868,0.8609,0.6509,322.54,85.96
